scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_capacity_MW,farm_area_km2,orientation_deg_from_north,assumptions_layout_orientation_deg_from_north,squareness,farm_AEP_MWh,farm_AEP_GWh,farm_AEP_no_wake_MWh,farm_AEP_no_wake_GWh,wake_loss_frac,wake_loss_pct,farm_cf,farm_cf_pct,turbine_net_yield_MWh,turbine_no_wake_yield_MWh,Lx_m,Ly_m,nx,ny,spacing_x_m,spacing_y_m,spacing_x_D,spacing_y_D,min_spacing_D,rank_AEP,rank_CF,rank_wake_loss
electricity_nt49_tc15_A20_a5d500a1,electricity,49,15.0,735.0,20.0,15.0,30.0,0.5,3818375.3814298934,3818.3753814298934,4284437.76236988,4284.43776236988,0.10878028968780973,10.878028968780972,0.5930443545848311,59.304435458483105,77926.0281924468,87437.50535448735,3162.2776601683795,6324.555320336759,5,10,790.5694150420949,702.7283689263065,3.349870402720741,2.977662580196214,2.977662580196214,41.0,434.0,434.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,60.0,30.0,2.0,3814744.8566545346,3814.7448566545345,4284437.76236988,4284.43776236988,0.10962766453060613,10.962766453060613,0.5924804859215567,59.24804859215567,77851.93585009254,87437.50535448735,7745.966692414834,3872.983346207417,10,5,860.6629658238704,968.2458365518543,3.6468769738299596,4.102736595558705,3.6468769738299596,42.0,435.0,435.0
electricity_nt49_tc15_A20_a5d500a1,electricity,49,15.0,735.0,20.0,75.0,30.0,0.5,3813303.8231431935,3813.3038231431933,4284437.76236988,4284.43776236988,0.10996400586435062,10.996400586435062,0.5922566742992565,59.22566742992566,77822.52700292232,87437.50535448735,3162.2776601683795,6324.555320336759,5,10,790.5694150420949,702.7283689263065,3.349870402720741,2.977662580196214,2.977662580196214,43.0,437.0,437.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,0.0,30.0,1.5,3807056.9148052037,3807.0569148052036,4284437.76236988,4284.43776236988,0.11142205209689404,11.142205209689404,0.5912864465575131,59.12864465575131,77695.03907765722,87437.50535448735,6708.203932499369,4472.13595499958,9,6,838.5254915624212,894.4271909999159,3.55307411678992,3.7899457245759147,3.55307411678992,44.0,440.0,440.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,0.0,30.0,1.0,3805422.83251333,3805.42283251333,4284437.76236988,4284.43776236988,0.11180345156690752,11.180345156690752,0.5910326518984453,59.103265189844535,77661.69045945571,87437.50535448735,5477.2255750516615,5477.2255750516615,7,7,912.870929175277,912.870929175277,3.86809715752236,3.86809715752236,3.86809715752236,45.0,441.0,441.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,90.0,30.0,1.0,3805422.83251333,3805.42283251333,4284437.76236988,4284.43776236988,0.11180345156690752,11.180345156690752,0.5910326518984453,59.103265189844535,77661.69045945571,87437.50535448735,5477.2255750516615,5477.2255750516615,7,7,912.870929175277,912.870929175277,3.86809715752236,3.86809715752236,3.86809715752236,45.0,441.0,441.0
electricity_nt49_tc15_A20_a5d500a1,electricity,49,15.0,735.0,20.0,15.0,30.0,2.0,3804331.2710285163,3804.3312710285163,4284437.76236988,4284.43776236988,0.11205822513239161,11.205822513239161,0.5908631179182612,59.08631179182612,77639.41369445952,87437.50535448735,6324.555320336759,3162.2776601683795,10,5,702.7283689263065,790.5694150420949,2.977662580196214,3.349870402720741,2.977662580196214,47.0,444.0,444.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,30.0,30.0,2.0,3803067.344543749,3803.067344543749,4284437.76236988,4284.43776236988,0.11235322918073332,11.235322918073331,0.590666813366842,59.0666813366842,77613.61927640304,87437.50535448735,7745.966692414834,3872.983346207417,10,5,860.6629658238704,968.2458365518543,3.6468769738299596,4.102736595558705,3.6468769738299596,48.0,445.0,445.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,90.0,30.0,1.5,3802651.9392735898,3802.65193927359,4284437.76236988,4284.43776236988,0.11245018595620748,11.24501859562075,0.5906022954172631,59.06022954172631,77605.14161782837,87437.50535448735,6708.203932499369,4472.13595499958,9,6,838.5254915624212,894.4271909999159,3.55307411678992,3.7899457245759147,3.55307411678992,49.0,446.0,446.0
electricity_nt49_tc15_A25_52121bac,electricity,49,15.0,735.0,25.0,60.0,30.0,0.5,3801766.555832307,3801.766555832307,4284437.76236988,4284.43776236988,0.11265683697797269,11.265683697797268,0.5904647836225743,59.046478362257425,77587.07256800626,87437.50535448735,3535.5339059327375,7071.067811865475,5,10,883.8834764831844,785.6742013183862,3.7452689681490865,3.329127971688077,3.329127971688077,50.0,447.0,447.0
