scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_LCOE,hydrogen_LCOE,infra_LCOE
hydrogen_central_nt150_tc15_A200_1d33477e,hydrogen_central,150,15.0,200,2250.0,1.0,90.0,4.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,26,,8353873.984598333,211812220.7048259,0.5733481125985473,,,79.82888514943319,6990050944.288221,578366930.4406915,88513516.42864667,666880446.8693382,40.202458727528125,8.11944504312686,31.506981378778214
hydrogen_central_nt150_tc15_A200_6b4599a8,hydrogen_central,150,15.0,200,2250.0,1.0,90.0,5.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,15,,8353873.984598333,211812220.7048259,0.5733481125985473,,,76.8700191077194,6689230808.288221,553476637.0709072,88685815.74864668,642162452.8195539,40.202458727528125,8.11944504312686,28.548115337064427
hydrogen_central_nt150_tc15_A200_ee39107a,hydrogen_central,150,15.0,200,2250.0,1.0,90.0,6.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,9,,8353873.984598333,211812220.7048259,0.5733481125985473,,,74.94035489440489,6495085712.288221,537412790.8802887,88629490.26864666,626042281.1489353,40.202458727528125,8.11944504312686,26.618451123749917
hydrogen_central_nt150_tc15_A200_2b188875,hydrogen_central,150,15.0,200,2250.0,1.0,90.0,7.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,6,,8353873.984598333,211812220.7048259,0.5733481125985473,,,73.88412515363771,6389311184.288221,528660853.3671348,88557817.62864667,617218670.9957814,40.202458727528125,8.11944504312686,25.56222138298275
hydrogen_central_nt150_tc15_A200_dfc1c988,hydrogen_central,150,15.0,200,2250.0,1.0,90.0,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,5,,8353873.984598333,211812220.7048259,0.5733481125985473,,,73.65391208552856,6365655648.288221,526703560.0865431,88591939.94864666,615295500.0351897,40.202458727528125,8.11944504312686,25.33200831487358
hydrogen_central_nt150_tc15_A200_1156d2a6,hydrogen_central,150,15.0,200,2250.0,1.0,100.0,4.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,21,,8351882.166982464,211761718.2297785,0.5733481125985473,,,78.10345062622937,6815203743.80246,563899820.0509266,88410996.41407381,652310816.4650004,40.21204650234268,8.126627643851403,29.764776480035287
hydrogen_central_nt150_tc15_A200_1821cded,hydrogen_central,150,15.0,200,2250.0,1.0,100.0,5.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,12,,8351882.166982464,211761718.2297785,0.5733481125985473,,,75.70872823633037,6571623999.80246,543745679.5478555,88564697.69407381,632310377.2419293,40.21204650234268,8.126627643851403,27.37005409013629
hydrogen_central_nt150_tc15_A200_97a44696,hydrogen_central,150,15.0,200,2250.0,1.0,100.0,6.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,8,,8351882.166982464,211761718.2297785,0.5733481125985473,,,74.55779909283204,6455122335.80246,534106163.27881145,88591789.3740738,622697952.6528852,40.21204650234268,8.126627643851403,26.219124946637972
hydrogen_central_nt150_tc15_A200_b3f6a2bb,hydrogen_central,150,15.0,200,2250.0,1.0,100.0,7.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,5,,8351882.166982464,211761718.2297785,0.5733481125985473,,,73.43477799124535,6343014087.80246,524830164.6073245,88488448.13407381,613318612.7413983,40.21204650234268,8.126627643851403,25.09610384505127
hydrogen_central_nt150_tc15_A200_5f48f258,hydrogen_central,150,15.0,200,2250.0,1.0,100.0,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,4,,8351882.166982464,211761718.2297785,0.5733481125985473,,,73.14704570537077,6313888671.80246,522420285.5400635,88495221.05407381,610915506.5941373,40.21204650234268,8.126627643851403,24.80837155917669
