scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_LCOE,hydrogen_LCOE,infra_LCOE
hydrogen_central_nt125_tc15_A200_323761ec,hydrogen_central,125,15.0,200,1875.0,1.0,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7018061.607455339,177942738.5257439,0.5816896369239274,,,72.14638724224832,5224154005.610388,432254062.30311704,74073728.11831161,506327790.4214287,39.878802826411665,8.287972555103625,23.979611860733026
hydrogen_central_nt125_tc15_A200_ce1bdc14,hydrogen_central,125,15.0,200,1875.0,1.1,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7108161.950154454,180227229.97349024,0.5286097693666567,,,71.56565214453023,5245197332.189154,433995217.5960648,74705027.9156746,508700245.5117394,39.37331437154999,8.516682302323119,23.675655470657127
hydrogen_central_nt125_tc15_A200_35e84aa7,hydrogen_central,125,15.0,200,1875.0,1.2,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7184358.111275126,182159181.32036325,0.4845978014254257,,,71.13606241324895,5266189625.191544,435732150.29705244,75334796.7057463,511066947.00279874,38.95572725252802,8.755779931858335,23.424555228862594
hydrogen_central_nt125_tc15_A200_a471bf29,hydrogen_central,125,15.0,200,1875.0,1.3,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7251593.001479374,183863919.91580564,0.4473407541604163,,,70.80211146800582,5287132668.493425,437465008.0065507,75963088.00480276,513428096.0113535,38.594539849413145,9.000202792576271,23.207368826016403
hydrogen_central_nt125_tc15_A200_bd150c54,hydrogen_central,125,15.0,200,1875.0,1.4,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7307194.795425935,185273701.70958254,0.41520814251295857,,,70.58579118989032,5308030306.966369,439194108.8547973,76590017.15899105,515784126.01378834,38.30086687199195,9.254144644851282,23.030779673047096
hydrogen_central_nt125_tc15_A200_5e6963dc,hydrogen_central,125,15.0,200,1875.0,1.5,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7356014.304273369,186511518.87102863,0.38729571131082696,,,70.43716142789137,5328897885.5072365,440920722.5007642,77216044.51521711,518136767.0159813,38.04667629652837,9.51255336011492,22.877931771248093
hydrogen_central_nt125_tc15_A200_19a4731d,hydrogen_central,125,15.0,200,1875.0,1.6,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7402548.501878011,187691392.03544652,0.36294463370642904,,,70.31190121940686,5349746402.892562,442645758.9991381,77841500.03677686,520487259.03591496,37.80750575242003,9.770279868987545,22.73411559799929
hydrogen_central_nt125_tc15_A200_30013cae,hydrogen_central,125,15.0,200,1875.0,1.7,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7442137.302328877,188695164.86635086,0.34135750067102366,,,70.25343097108298,5370576543.634528,444369274.9874476,78466404.25903584,522835679.24648345,37.60638694206038,10.033863631393025,22.613180397629566
hydrogen_central_nt125_tc15_A200_9fb3ee22,hydrogen_central,125,15.0,200,1875.0,1.8,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7479779.352902978,189649577.91336152,0.3222052037751021,,,70.21369403196368,5391396390.507179,446091939.24611366,79090999.66521539,525182938.91132903,37.41713249317977,10.297182155864567,22.499379382919358
hydrogen_central_nt125_tc15_A200_12ae11ea,hydrogen_central,125,15.0,200,1875.0,1.9,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7514811.86094146,190537826.08877945,0.3051052559860502,,,70.19853878228733,5412203937.4287615,447813585.78902906,79715226.07286285,527528811.8618919,37.242701513522476,10.561345367219415,22.39449190154544
