scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_sLCOE,hydrogen_sLCOE,infra_sLCOE,turbine_turbine_cLCOE,turbine_foundation_cLCOE,infra_development_cLCOE,infra_infield_cLCOE,infra_offshore-platform_cLCOE,infra_offshore-substation-converter_cLCOE,infra_export_cLCOE,infra_onshore-substation_cLCOE,hydrogen_stack_cLCOE,hydrogen_bop_cLCOE,hydrogen_electrical-bop_cLCOE,hydrogen_compressor_cLCOE
hydrogen_central_nt133_tc15_A50_673009d3,hydrogen_central,133,15.0,50.0,1995.0,1.6,150.0,8.0,0.19991492829297763,0.5324006296912341,170000.00000000003,,2.0,,7071991.0340884905,179310117.49717268,0.32361509122970467,,,74.87364126727934,5342394914.602848,442037486.2197005,87468233.51205698,529505719.7317575,39.367807468815734,9.874599745327416,25.631234053136193,31.286481849659936,8.081325619155804,0.9513172501718399,1.3248919699625263,21.302678650795475,,2.052346182206348,,5.112642876190914,1.4758404138255896,2.840357153439397,0.44575930187151497
hydrogen_central_nt133_tc15_A100_cb410a7a,hydrogen_central,133,15.0,100.0,1995.0,1.6,150.0,8.0,0.14727933892898015,0.5674259312654437,240416.30560342618,,2.0,,7510589.898364149,190430778.356089,0.34505323107744457,,,70.92402346786044,5370561436.844219,444368025.02975637,88313229.17929809,532681254.20905447,37.06883017428842,9.297948870750888,24.557244422821125,29.459432897162788,7.609397277125637,0.8957628035654435,1.6703293322858896,20.058657769785416,,1.9324945171843702,,4.8140778647485,1.3896551822904466,2.674487702638056,0.4197281210738868
hydrogen_central_nt133_tc15_A150_338a222f,hydrogen_central,133,15.0,150.0,1995.0,1.6,150.0,8.0,0.12390330405546612,0.5829810467480888,294448.63728670916,,2.0,,7705493.217511702,195372546.08295393,0.35459307415262026,,,69.44629141955758,5392174369.517532,446156310.3552446,88961617.15949748,535117927.5147421,36.131208423942,9.062765859745813,24.252317135869756,28.714283808093082,7.416924615848924,0.8731053125190492,1.9443053796539884,19.55129258671171,,1.8836138569850076,,4.6923102208108105,1.3545051406443818,2.6068390115615614,0.4091114867290597
hydrogen_central_nt133_tc15_A200_9112fe5a,hydrogen_central,133,15.0,200.0,1995.0,1.6,150.0,8.0,0.10931753704434866,0.5926868540626541,340000.00000000006,,2.0,,7827645.480448531,198469712.99311692,0.36056906420902846,,,68.62499578913615,5410394914.602848,447663904.6225741,89508233.51205698,537172138.134631,35.56737235310173,8.921339250556667,24.136284185477756,28.26619060375344,7.301181749348293,0.8594802971842646,2.1763942398944995,19.246190032083746,,1.8542196163152447,,4.619085607700099,1.3333677668961013,2.5661586709444997,0.4027272050159664
hydrogen_central_nt133_tc15_A250_ca38f9c6,hydrogen_central,133,15.0,250.0,1995.0,1.6,150.0,8.0,0.09883434743332886,0.5996626831931385,380131.55617496424,,2.0,,7915313.590005031,200692535.24353528,0.3648644825187813,,,68.09356671632791,5426447537.072834,448992121.83550805,89989812.18615654,538981934.0216646,35.1734366914716,8.822528642750033,24.097601382106276,27.953121075121764,7.220315616349843,0.8499609001321567,2.3809338958364563,19.03302386032164,,1.8336827258160227,,4.567925726477194,1.3185997062073929,2.5377365147095525,0.39826669535589365
hydrogen_central_nt133_tc15_A300_f0ababe5,hydrogen_central,133,15.0,300.0,1995.0,1.6,150.0,8.0,0.09047155110015204,0.6052275389706167,416413.2562731403,,2.0,,7982856.088465202,202405073.2369473,0.36818829891076404,,,67.72239265991166,5440960217.112104,450192921.9832723,90425192.58733466,540618114.570607,34.87583621274001,8.747881721815457,24.098674725356197,27.71661128260509,7.159224930134928,0.8427694285395104,2.5657507469232317,18.871986510965474,,1.8181680389279766,,4.529276762631714,1.307443107912356,2.5162648681287303,0.39489698314265687
hydrogen_central_nt200_tc15_A50_d65e874b,hydrogen_central,200,15.0,50.0,3000.0,1.6,150.0,8.0,0.262823585469372,0.4905393203403621,250000.00000000006,,3.0,,9842845.646435559,249565051.88731134,0.2980365448784739,,,80.2882396557162,7968476481.256607,659323275.2501088,130941474.90513214,790264750.155241,42.53442924635514,10.397161528137676,27.356648881223386,33.80306738331461,8.731361863040526,0.7229377261716903,1.4056256524690989,23.01619866810829,,2.2118868344743055,,5.52388768034599,1.3544639120418882,3.0688264890811054,0.44998344666869194
hydrogen_central_nt200_tc15_A100_0b836b6d,hydrogen_central,200,15.0,100.0,3000.0,1.6,150.0,8.0,0.19084460713814055,0.538436293728852,353553.3905932738,,3.0,,10747043.128156733,272490951.52527213,0.3273087898887916,,,73.96775506703182,8009897837.4939165,662750538.2060732,132184115.59225143,794934653.7983246,38.955814798420185,9.522401172318505,25.489539096293132,30.959062010118863,7.996752788301321,0.6621136963757115,1.7218931529663655,21.079741483901646,,2.02579076304941,,5.059137956136396,1.2405067199336866,2.8106321978535527,0.41212429839486997
hydrogen_central_nt200_tc15_A150_5451bfc6,hydrogen_central,200,15.0,150.0,3000.0,1.6,150.0,8.0,0.1592964384045905,0.5594293924546059,433012.7018922193,,3.0,,11143894.142848736,282553096.9282134,0.3401978520382148,,,71.65520298910496,8041681562.0134945,665380369.5670853,133137627.32783878,798517996.894924,37.568539001222526,9.18329398778338,24.903370000099066,29.856562738756654,7.711976262465871,0.638534820905435,1.9821260674646128,20.329059837961946,,1.953649273767071,,4.878974361110868,1.1963303894492618,2.7105413117282593,0.3974479254949902
hydrogen_central_nt200_tc15_A200_bbebe272,hydrogen_central,200,15.0,200.0,3000.0,1.6,150.0,8.0,0.14055492220723298,0.5719005600562623,500000.0000000001,,3.0,,11377676.787859585,288480648.77940124,0.34780723949008474,,,70.44837973606543,8068476481.256607,667597419.960217,133941474.90513214,801538894.8653492,36.79660000342372,8.994600390803454,24.65717934183825,29.243085458803794,7.553514544619927,0.6254145361455369,2.206909328873237,19.911348782522776,,1.913506694296705,,4.778723707805467,1.1717488085195997,2.65484650433637,0.38928137014201697
hydrogen_central_nt200_tc15_A250_f67d482d,hydrogen_central,200,15.0,250.0,3000.0,1.6,150.0,8.0,0.12733702219305276,0.5806961476001357,559016.9943749474,,3.0,,11543714.480594527,292690529.42683893,0.35320536882686265,,,69.66564884786429,8092083279.006586,669550680.5674728,134649678.83763152,804200359.4051044,36.26734032922357,8.8652275881001,24.533080930540617,28.822470894384974,7.444869434838597,0.6164189579233743,2.4057218004197143,19.62495618188731,,1.8859839903102211,,4.709989483652954,1.1548950939757614,2.616660824251641,0.38368218621974204
hydrogen_central_nt200_tc15_A300_4aba83fe,hydrogen_central,200,15.0,300.0,3000.0,1.6,150.0,8.0,0.11735847435264701,0.5873361729443175,612372.4356957946,,3.0,,11668984.28875691,295866741.60134155,0.3572739680943071,,,69.1239689171887,8113425455.534925,671316563.1377144,135289944.13348168,806606507.2711961,35.878000293006444,8.770056891851311,24.475911732330953,28.513053612609703,7.364946680396739,0.6098015281029299,2.586095987716289,19.41427679152521,,1.865737424986526,,4.659426429966051,1.1424969723149572,2.588570238870028,0.37956325070027436
hydrogen_central_nt267_tc15_A50_2735f3a2,hydrogen_central,267,15.0,50.0,4005.0,1.6,150.0,8.0,0.3197382875485123,0.4526665686828744,335000.00000000006,,4.0,,12176561.6134507,308736349.22542346,0.27484588926269427,,,86.29755772040312,10592258567.879826,876418801.9752102,174388726.69759652,1050807528.6728067,45.900548919625614,11.037639422961778,29.35936937781573,36.47819838076683,9.42235053885878,0.6162512929190213,1.5214944922442963,24.83767083814475,,2.383952754507663,,5.961041001154739,1.3021235745012363,3.3116894450859675,0.4627854022198354
hydrogen_central_nt267_tc15_A100_742bc356,hydrogen_central,267,15.0,100.0,4005.0,1.6,150.0,8.0,0.2284434818380432,0.5134168735774408,473761.5433949869,,4.0,,13715379.117625922,347753020.223781,0.3120103753919668,,,77.07152609409695,10647763185.23782,881011334.3362024,176053865.21833637,1057065199.5545387,40.75066807980256,9.799254934777968,26.521603079516442,32.38547227325718,8.365195806545373,0.5471100560358407,1.8070402646923531,22.050971154461823,,2.1164816043264256,,5.292233077070837,1.15602986962751,2.940129487261577,0.41086250081804593
hydrogen_central_nt267_tc15_A150_e95e6a33,hydrogen_central,267,15.0,150.0,4005.0,1.6,150.0,8.0,0.1899811006719092,0.5390108968587206,580237.020535574,,4.0,,14360630.604693819,364113352.04598933,0.3276616831040643,,,73.94291438405966,10690353376.094055,884535308.3599586,177331570.94402343,1061866879.303982,38.91966010380821,9.358955062657017,25.66429921759444,30.93032906130901,7.989331042499197,0.5225273209899619,2.060210507109879,21.06017748248636,,2.021383907008238,,5.0544425957967265,1.1040871650899913,2.8080236643315155,0.3924016374387854
