scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_LCOE,hydrogen_LCOE,infra_LCOE
hydrogen_central_nt75_tc15_A200_69c19cae,hydrogen_central,75,15.0,200,1125.0,1.6,150.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1.0,,4588515.252403692,116341664.6146981,0.3756914746933341,,,68.76122644700763,3243707123.5053296,268389021.37091878,47122914.95515989,315511936.32607865,36.596399445861316,9.822582941113927,22.34224406003238
hydrogen_central_nt75_tc15_A200_fdc0b72d,hydrogen_central,75,15.0,200,1125.0,1.8,150.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1.0,,4637390.983955644,117580907.30110659,0.33359425571436163,,,68.64439578233605,3268710933.9627376,270457872.83120584,47873029.268882126,318330902.100088,36.21069209419045,10.326935465006065,22.10676822313953
hydrogen_central_nt75_tc15_A200_f474e32d,hydrogen_central,75,15.0,200,1125.0,2.0,150.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1.0,,4678005.589522267,118610689.38950981,0.29983708224289807,,,68.6504265456317,3293690008.436919,272524677.60044533,48622401.50310756,321147079.1035529,35.89630961889072,10.839280426331019,21.914836500409958
hydrogen_central_nt100_tc15_A200_c1016c8c,hydrogen_central,100,15.0,200,1500.0,1.0,150.0,0.08639459662359783,0.6079404668920301,117851.13019775793,,1.0,,5714018.220446498,144878758.12491122,0.5927761800184312,,,70.6902010585858,4164141705.8880415,344547110.6791443,59377986.17664124,403925096.85578555,39.18389956347766,8.304360804950583,23.201940690157553
hydrogen_central_nt100_tc15_A200_d7e116eb,hydrogen_central,100,15.0,200,1500.0,1.2,150.0,0.08639459662359783,0.6079404668920301,117851.13019775793,,1.0,,5851244.84306359,148358134.9661154,0.49391923625380313,,,69.68065697646963,4197789384.1519566,347331168.2702923,60387416.524558686,407718584.79485095,38.26493713030625,8.757923871270457,22.657795974892935
hydrogen_central_nt100_tc15_A200_d2747978,hydrogen_central,100,15.0,200,1500.0,1.4,150.0,0.08639459662359783,0.6079404668920301,117851.13019775793,,1.0,,5951259.101950905,150893993.45717305,0.4232206639747251,,,69.14395613498161,4231273196.8527803,350101667.38762003,61391930.9055834,411493598.2932034,37.621873324329,9.24506385010711,22.277018960545494
hydrogen_central_nt100_tc15_A200_6cf2619e,hydrogen_central,100,15.0,200,1500.0,1.6,150.0,0.08639459662359783,0.6079404668920301,117851.13019775793,,1.0,,6027835.786048638,152835592.95255166,0.3698583884568443,,,68.88996356583294,4264657453.355508,352863929.08104944,62393458.60066524,415257387.68171465,37.14393092327853,9.75201745054708,21.994015192007343
hydrogen_central_nt100_tc15_A200_8942b5d3,hydrogen_central,100,15.0,200,1500.0,1.8,150.0,0.08639459662359783,0.6079404668920301,117851.13019775793,,1.0,,6092366.8450134015,154471775.9891836,0.3284064871397072,,,68.77704441769149,4297986788.070131,355621646.4662537,63393338.64210393,419014985.1083576,36.75049808222184,10.265494313168503,21.761052022301133
hydrogen_central_nt100_tc15_A200_b1ad3bbd,hydrogen_central,100,15.0,200,1500.0,2.0,150.0,0.08639459662359783,0.6079404668920301,117851.13019775793,,1.0,,6147565.567058876,155871337.90717232,0.2952720606424909,,,68.77009409998271,4331281352.940577,358376486.94423515,64392175.588217296,422768662.53245246,36.42051696912184,10.783916641824954,21.565660489035913
hydrogen_central_nt125_tc15_A200_a1cb7d90,hydrogen_central,125,15.0,200,1875.0,1.0,150.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,1.0,,7018061.607455339,177942738.5257439,0.5816896369239274,,,71.37082978915343,5160383573.610388,426977604.4771759,73907275.95831162,500884880.4354875,39.878802826411665,8.287972555103625,23.204054407638132
hydrogen_central_nt125_tc15_A200_daf8e4ac,hydrogen_central,125,15.0,200,1875.0,1.2,150.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,1.0,,7184358.111275126,182159181.32036325,0.4845978014254257,,,70.37845680650742,5202419193.191544,430455692.4711113,75168344.5457463,505624037.0168576,38.95572725252802,8.755779931858335,22.666949622121052
hydrogen_central_nt125_tc15_A200_de4441ef,hydrogen_central,125,15.0,200,1875.0,1.4,150.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,1.0,,7307194.795425935,185273701.70958254,0.41520814251295857,,,69.84092121744231,5244259874.966369,433917651.02885616,76423564.99899106,510341216.02784723,38.30086687199195,9.254144644851282,22.285909700599092
hydrogen_central_nt125_tc15_A200_318a7d0e,hydrogen_central,125,15.0,200,1875.0,1.6,150.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,1.0,,7402548.501878011,187691392.03544652,0.36294463370642904,,,69.5766260659161,5285975970.892562,437369301.173197,77675047.87677686,515044349.04997385,37.80750575242003,9.770279868987545,21.99884044450853
hydrogen_central_nt125_tc15_A200_a38cecbd,hydrogen_central,125,15.0,200,1875.0,1.8,150.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,1.0,,7479779.352902978,189649577.91336152,0.3222052037751021,,,69.48601080373734,5327625958.507179,440815481.4201725,78924547.50521538,519740028.92538786,37.41713249317977,10.297182155864567,21.771696154693025
hydrogen_central_nt125_tc15_A200_d8b3a756,hydrogen_central,125,15.0,200,1875.0,2.0,150.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,1.0,,7545452.947983535,191314729.91844663,0.2896537822928125,,,69.50288971404856,5369232264.630327,444258047.39733243,80172736.68890983,524430784.08624226,37.09146382552353,10.829224727351567,21.58220116117347
hydrogen_central_nt150_tc15_A200_5784a789,hydrogen_central,150,15.0,200,2250.0,1.0,150.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,1.0,,8310467.778386912,210711657.66701096,0.5733481125985473,,,71.89826513229623,6153641194.456598,509161177.3701691,88347038.33369797,597508215.7038671,40.41243923166672,8.273406006753394,23.212419893876124
hydrogen_central_nt150_tc15_A200_33d085fe,hydrogen_central,150,15.0,200,2250.0,1.2,150.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,1.0,,8506209.122830588,215674673.4997614,0.4776550415537789,,,70.91200667641174,6204058698.856323,513332794.6434275,89859563.46568969,603192358.1091172,39.4824849978561,8.751256331341605,22.67826534721404
hydrogen_central_nt150_tc15_A200_7ae0eb74,hydrogen_central,150,15.0,200,2250.0,1.4,150.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,1.0,,8649862.139398493,219316991.36405915,0.40921156273456555,,,70.38851410238811,6254249513.495887,517485655.27788717,91365287.90487659,608850943.1827638,38.82677766054431,9.260101516612549,22.301634925231244
hydrogen_central_nt150_tc15_A200_fa7ca3d1,hydrogen_central,150,15.0,200,2250.0,1.6,150.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,1.0,,8762021.854385223,222160797.5249803,0.3576929123849163,,,70.13143721843011,6304295371.072181,521626521.9551644,92866663.63216543,614493185.5873299,38.329769048989625,9.78550902348958,22.016159145950898
hydrogen_central_nt150_tc15_A200_c369e792,hydrogen_central,150,15.0,200,2250.0,1.8,150.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,1.0,,8854147.540031428,224496641.4815271,0.31760471312162675,,,70.03797081812812,6354262278.4132,525760856.175726,94365670.85239601,620126527.028122,37.930955245816165,10.31993028665608,21.787085285655877
hydrogen_central_nt150_tc15_A200_a3762cdf,hydrogen_central,150,15.0,200,2250.0,2.0,150.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,1.0,,8930992.060718685,226445031.9654839,0.28548731243490066,,,70.06552342986454,6404182752.1946945,529891348.41637844,95863285.06584084,625754633.4822192,37.60458768717789,10.861312064270626,21.59962367841603
hydrogen_central_nt175_tc15_A200_9e3915e3,hydrogen_central,175,15.0,200,2625.0,1.0,150.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,1.0,,9571380.48860644,242682061.070143,0.5653835621829328,,,72.51146225619271,7146040604.4541,591273740.6556222,102761054.383623,694034795.0392452,40.93669179285729,8.279839072534283,23.294931390801146
hydrogen_central_nt175_tc15_A200_adf528ca,hydrogen_central,175,15.0,200,2625.0,1.2,150.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,1.0,,9796546.094403133,248391128.15423766,0.47106700833688797,,,71.52149000333026,7204836891.793123,596138630.554224,104524943.00379369,700663573.5580177,39.995795387325416,8.766178185543525,22.759516430461318
hydrogen_central_nt175_tc15_A200_2d02d49f,hydrogen_central,175,15.0,200,2625.0,1.4,150.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,1.0,,9959500.157925503,252522823.476813,0.4035322123686531,,,71.01390522394792,7263372833.139356,600981979.0486354,106281021.24418065,707263000.292816,39.341397347380855,9.285375162892622,22.387132713674436
hydrogen_central_nt175_tc15_A200_a7c8a63c,hydrogen_central,175,15.0,200,2625.0,1.6,150.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,1.0,,10087396.14973581,255765622.4578045,0.35270782816490587,,,70.76595448274365,7321747252.290561,605811962.9628912,108032253.8187168,713844216.781608,38.84259597602018,9.820067579343847,22.103290927379632
hydrogen_central_nt175_tc15_A200_22f743ac,hydrogen_central,175,15.0,200,2625.0,1.8,150.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,1.0,,10192921.682054108,258441219.11901897,0.31315370232588136,,,70.67802339433543,7380034071.2751465,610634698.7125946,109780858.3882544,720415557.100849,38.440465385317154,10.363098579991519,21.874459429026757
hydrogen_central_nt175_tc15_A200_7d774fe6,hydrogen_central,175,15.0,200,2625.0,2.0,150.0,0.1285518050845479,0.5798877945896361,207417.98914805395,,1.0,,10283440.122064522,260736311.41137227,0.281551801335543,,,70.69430432986577,7438265437.069538,615452846.1850951,111527799.36208615,726980645.5471812,38.102098951648,10.910292598958343,21.681912779259417
hydrogen_central_nt200_tc15_A200_0d215370,hydrogen_central,200,15.0,200,3000.0,1.0,150.0,0.14055492220723298,0.5719005600562623,235702.26039551586,,1.0,,10799215.732300417,273813786.3159335,0.5575574985161766,,,73.19819916699043,8137746122.751499,673328890.3376775,117154253.68254493,790483144.0202224,41.46551408991307,8.302906259765379,23.42977881731198
hydrogen_central_nt200_tc15_A200_b4d3a5db,hydrogen_central,200,15.0,200,3000.0,1.2,150.0,0.14055492220723298,0.5719005600562623,235702.26039551586,,1.0,,11051286.891799824,280205042.8955331,0.46453139627222273,,,72.21387650188903,8204918604.264578,678886838.6634403,119169428.12793732,798056266.7913777,40.51971833614986,8.798794170078127,22.89536399566105
hydrogen_central_nt200_tc15_A200_af17983d,hydrogen_central,200,15.0,200,3000.0,1.4,150.0,0.14055492220723298,0.5719005600562623,235702.26039551586,,1.0,,11235818.095836248,284883825.95933694,0.39798218970987864,,,71.69897532707876,8271800641.309658,684420755.1936184,121175889.23928975,805596644.4329082,39.85424365971687,9.325389163766218,22.519342503595674
hydrogen_central_nt200_tc15_A200_0f8a9ad7,hydrogen_central,200,15.0,200,3000.0,1.6,150.0,0.14055492220723298,0.5719005600562623,235702.26039551586,,1.0,,11377676.787859585,288480648.77940124,0.34780723949008474,,,71.46596248881478,8338501737.414814,689939700.4085873,123176922.1224444,813116622.5310317,39.35733458218186,9.870060163328764,22.238567743304156
hydrogen_central_nt200_tc15_A200_1fa7a1ab,hydrogen_central,200,15.0,200,3000.0,1.8,150.0,0.14055492220723298,0.5719005600562623,235702.26039551586,,1.0,,11496711.327768784,291498765.9170584,0.3088187123988263,,,71.3791573204613,8405104962.712902,695450547.6513506,125175018.88138704,820625566.5327376,38.949836987393454,10.421006060003473,22.008314273064375
hydrogen_central_nt200_tc15_A200_c7354f3c,hydrogen_central,200,15.0,200,3000.0,2.0,150.0,0.14055492220723298,0.5719005600562623,235702.26039551586,,1.0,,11597063.293123536,294043186.94532293,0.27763475364394935,,,71.40836553984018,8471644540.518433,700956128.6084752,127171206.21555294,828127334.8240281,38.61279539391954,10.977698706151525,21.817871439769103
hydrogen_central_nt225_tc15_A200_999dbf72,hydrogen_central,225,15.0,200,3375.0,1.0,150.0,0.14836960105665986,0.5667004381099886,268700.5768508881,,1.0,,12047401.325204724,305461494.04677296,0.5524963617712213,,,73.63239114431273,9130759710.552866,755492271.5833999,131586695.06658596,887078966.6499858,41.81560799068154,8.301802629340294,23.514980524290895
hydrogen_central_nt225_tc15_A200_383f7640,hydrogen_central,225,15.0,200,3375.0,1.2,150.0,0.14836960105665986,0.5667004381099886,268700.5768508881,,1.0,,12325321.136335429,312508142.4020139,0.4602752533956687,,,72.66307979124974,9206302705.177517,761742808.2769927,133852984.9053255,895595793.1823182,40.87272092538427,8.805610282289454,22.984748583576028
hydrogen_central_nt225_tc15_A200_b73ca92f,hydrogen_central,225,15.0,200,3375.0,1.4,150.0,0.14836960105665986,0.5667004381099886,268700.5768508881,,1.0,,12531158.960845882,317727154.17966235,0.39432489753892036,,,72.14634614049322,9281532702.365753,767967447.1097578,136109884.8209726,904077331.9307303,40.201342325576285,9.337804559391543,22.607199255525394
hydrogen_central_nt225_tc15_A200_82591999,hydrogen_central,225,15.0,200,3375.0,1.6,150.0,0.14836960105665986,0.5667004381099886,268700.5768508881,,1.0,,12688696.018469293,321721501.4824872,0.34460518883833086,,,71.91723528519503,9356559281.404243,774175254.8304461,138360682.19212735,912535937.0225735,39.70222081038951,9.888495885491823,22.326518589313704
hydrogen_central_nt225_tc15_A200_611809f8,hydrogen_central,225,15.0,200,3375.0,1.8,150.0,0.14836960105665986,0.5667004381099886,268700.5768508881,,1.0,,12820409.899717316,325061102.934009,0.3059708591137387,,,71.83718522834948,9431476038.852036,780373975.7537972,140608184.9155611,920982160.6693583,39.29432951533679,10.445714533716096,22.09714117929661
hydrogen_central_nt225_tc15_A200_3cf4d4ab,hydrogen_central,225,15.0,200,3375.0,2.0,150.0,0.14836960105665986,0.5667004381099886,268700.5768508881,,1.0,,12933274.26041428,327922775.3654736,0.2750883169360797,,,71.86277052772134,9506326592.005856,786567218.8380607,142853701.51017565,929420920.3482363,38.951421038297944,11.007042673816521,21.90430681560687
hydrogen_central_nt250_tc15_A200_6fa86814,hydrogen_central,250,15.0,200,3750.0,1.0,150.0,0.16021636737221745,0.5588172440981931,296984.84809835,,1.0,,13213105.369988482,335017884.6345964,0.5448017477540875,,,74.42657677804787,10121390962.569382,837458534.918803,145947666.37708145,983406201.2958844,42.36277350864192,8.348485562704473,23.715317706701477
hydrogen_central_nt250_tc15_A200_ee9ef825,hydrogen_central,250,15.0,200,3750.0,1.2,150.0,0.16021636737221745,0.5588172440981931,296984.84809835,,1.0,,13517154.552635385,342727042.40961933,0.4538604033912448,,,73.45240496664141,10205311376.438894,844402231.4036881,148465278.79316685,992867510.196855,41.4098831196327,8.86064651065643,23.181875336352284
hydrogen_central_nt250_tc15_A200_392cbb0d,hydrogen_central,250,15.0,200,3750.0,1.4,150.0,0.16021636737221745,0.5588172440981931,296984.84809835,,1.0,,13741536.72072945,348416245.4546007,0.38881882840905757,,,72.93868767116373,10288884410.49628,851317185.1802243,150972469.81488848,1002289654.9951128,40.73371133886758,9.401632127808499,22.803344204487658
hydrogen_central_nt250_tc15_A200_8ec39e10,hydrogen_central,250,15.0,200,3750.0,1.6,150.0,0.16021636737221745,0.5588172440981931,296984.84809835,,1.0,,13914198.879695708,352794089.2417776,0.33982005744334537,,,72.70893096766396,10372233268.087267,858213590.2715244,153472935.542618,1011686525.8141425,40.22824418238325,9.960310696747115,22.520376088533602
hydrogen_central_nt250_tc15_A200_eb556c5d,hydrogen_central,250,15.0,200,3750.0,1.8,150.0,0.16021636737221745,0.5588172440981931,296984.84809835,,1.0,,14056142.635336267,356393068.84726846,0.30167227002977587,,,72.64229028125142,10455466790.256054,865100452.3430898,155969941.20768163,1021070393.5507715,39.82200555702112,10.527327127624082,22.29295759660622
hydrogen_central_nt250_tc15_A200_d4390ce6,hydrogen_central,250,15.0,200,3750.0,2.0,150.0,0.16021636737221745,0.5588172440981931,296984.84809835,,1.0,,14177624.750232149,359473244.17424315,0.2712009781756073,,,72.68112103591095,10538624024.47332,871981002.23915,158464658.23419958,1030445660.4733496,39.48078750818094,11.098394926465417,22.101938601264596
hydrogen_decentral_nt50_tc15_A200_768a5526,hydrogen_decentral,50,15.0,200,750.0,1.0,150.0,0.053754099213902395,0.6296604339166372,,141421.35623730952,1.0,,3235373.1675054873,82032788.22275577,0.6294538462718697,0.7992558988062667,0.7988911604575499,56.360837444706924,1948838709.2552094,161249734.97038063,21098606.19636267,182348341.1667433,34.60149795123706,10.770557917373953,10.988781576095917
hydrogen_decentral_nt50_tc15_A200_f8e9c2f2,hydrogen_decentral,50,15.0,200,750.0,1.2,150.0,0.053754099213902395,0.6296604339166372,,141421.35623730952,1.0,,3354391.6205847845,85050497.47933024,0.5304408637310241,0.8291944453888668,0.8287679912390423,54.95958799860802,1966646182.3558474,162723151.06394103,21632830.389381807,184355981.45332283,33.37378895771627,10.986914630167725,10.59888441072403
hydrogen_decentral_nt50_tc15_A200_5e139d94,hydrogen_decentral,50,15.0,200,750.0,1.4,150.0,0.053754099213902395,0.6296604339166372,,141421.35623730952,1.0,,3398343.5119005158,86164896.34636196,0.4546635974837349,0.8402606469948442,0.8397237226646129,54.81999782050723,1983864361.7593627,164147808.1442339,22149375.771487262,186297183.91572118,32.94215479833037,11.416037460032097,10.461805562144765
hydrogen_decentral_nt50_tc15_A200_b9e10648,hydrogen_decentral,50,15.0,200,750.0,1.6,150.0,0.053754099213902395,0.6296604339166372,,141421.35623730952,1.0,,3436667.3979380345,87136597.3108021,0.39783064779826804,0.8499116667423507,0.8489910439070779,54.77179573735859,2001029839.6837802,165568104.62788188,22664340.109219786,188232444.73710167,32.57480141782024,11.8518532458893,10.345141073649057
hydrogen_decentral_nt50_tc15_A200_5af9b5d2,hydrogen_decentral,50,15.0,200,750.0,1.8,150.0,0.053754099213902395,0.6296604339166372,,141421.35623730952,1.0,,3469369.305136585,87965753.17283432,0.3536272424873494,0.8581524353813774,0.8571712710590655,54.8121527310401,2018158903.9816318,166985388.19537362,23178212.03815534,190163600.23352897,32.267754793697634,12.296769066515266,10.247628870827205
hydrogen_decentral_nt50_tc15_A200_523366ed,hydrogen_decentral,50,15.0,200,750.0,2.0,150.0,0.053754099213902395,0.6296604339166372,,141421.35623730952,1.0,,3498470.5570203224,88703614.52891284,0.31826451823861446,0.8654885297120576,0.8643544023436823,54.90731456788987,2035260184.8048072,168400372.91796514,23691250.462850597,192091623.38081574,31.99934262767562,12.745585698736193,10.162386241478055
hydrogen_decentral_nt75_tc15_A200_f2073515,hydrogen_decentral,75,15.0,200,1125.0,1.0,150.0,0.07215531677959253,0.6174157112421385,,155563.49186104047,2.0,,4763184.3496995475,120770394.26215892,0.6171550684915333,0.800551187651186,0.8001372015386486,55.5061124080962,2812140877.880289,232680605.68792197,31705240.246985693,264385845.93490767,35.254385451401845,10.97378503326253,9.277941923431817
hydrogen_decentral_nt75_tc15_A200_c37a19c4,hydrogen_decentral,75,15.0,200,1125.0,1.2,150.0,0.07215531677959253,0.6174157112421385,,155563.49186104047,2.0,,4937190.967566357,125182326.76385286,0.5197845435008785,0.8303298644909948,0.8297795546428943,54.15980627878823,2838852087.531246,234890729.82826254,32506576.5365144,267397306.36477694,34.01187803824519,11.19697858973479,8.950949650808253
hydrogen_decentral_nt75_tc15_A200_f5501006,hydrogen_decentral,75,15.0,200,1125.0,1.4,150.0,0.07215531677959253,0.6174157112421385,,155563.49186104047,2.0,,5001452.1305602025,126811666.59635402,0.4455296087150388,0.84133789968337,0.8406678897260161,54.04612560554441,2864679356.6365185,237027715.44870183,33281394.609672576,270309110.0583744,33.574876387267146,11.635305853532552,8.835943364744717
hydrogen_decentral_nt75_tc15_A200_28bf528c,hydrogen_decentral,75,15.0,200,1125.0,1.6,150.0,0.07215531677959253,0.6174157112421385,,155563.49186104047,2.0,,5057573.757025303,128234628.72782208,0.3898384076256589,0.8509534744367799,0.8500713734867641,54.02036913667065,2890427573.5231447,239158160.1741738,34053841.11627137,273212001.29044515,33.20231105026128,12.080163220175272,8.737894866234107
hydrogen_decentral_nt75_tc15_A200_d06451aa,hydrogen_decentral,75,15.0,200,1125.0,1.8,150.0,0.07215531677959253,0.6174157112421385,,155563.49186104047,2.0,,5105412.6599987615,129447582.6571694,0.34652302900058574,0.8591551370702405,0.8580206772987349,54.08157046704879,2916121169.969922,241284085.52541137,34824649.0096747,276108734.53508604,32.89119768046986,12.534354025673844,8.656018760905111
hydrogen_decentral_nt75_tc15_A200_0ba67210,hydrogen_decentral,75,15.0,200,1125.0,2.0,150.0,0.07215531677959253,0.6174157112421385,,155563.49186104047,2.0,,5148008.924828464,130527609.65589415,0.3118707261005272,0.8664606473621016,0.8650067195545981,54.195859667300944,2941773091.204685,243406562.60929865,35594206.64671758,279000769.25601625,32.619045439201145,12.992418122262766,8.584396105837031
